year,name,engine_size,mileage(km),price(eur),link
2023,Kia Sportage,1.6 Petrol Plug-in Hybrid,46083,39495,https://www.donedeal.ie/cars-for-sale/kia-sportage-k3-phev-my23-5dr-auto/38785489
2021,Kia Rio,1.2 Petrol,53368,16900,https://www.donedeal.ie/cars-for-sale/kia-rio-k1-perol-5dr/39141766
2021,Kia Sportage,1.6 Diesel Hybrid,114000,27495,https://www.donedeal.ie/cars-for-sale/kia-sportage-k3-mhev-spec-special-ed-5dr/39617721
2017,Kia Sorento,2.2 Diesel,197672,24500,https://www.donedeal.ie/cars-for-sale/kia-sorento-platinum-4x2-5dr/37832024
2021,Kia Stonic,1.0 Petrol Hybrid,55000,19900,https://www.donedeal.ie/cars-for-sale/kia-stonic-1-0-k3-mhev-pe-m-my21-5dr/38934289
2023,Kia Rio,1.2 Petrol,25000,20495,https://www.donedeal.ie/cars-for-sale/kia-rio-pe-petrol-my2021-5dr/39112089
2021,Kia Soul,64 kWh Electric,72000,21495,https://www.donedeal.ie/cars-for-sale/kia-soul-e-soul-k3-lr-5dr-auto-0-finance-free-h/39110972
2019,Kia Sorento,2.2 Diesel,165000,28500,https://www.donedeal.ie/cars-for-sale/kia-sorento-k2-5dr/36684918
2015,Kia Sportage,1.7 Diesel,250000,10900,https://www.donedeal.ie/cars-for-sale/kia-sportage-ex-5dr/33745749
2015,Kia Sportage,1.7 Diesel,217260,11900,https://www.donedeal.ie/cars-for-sale/kia-sportage-1-isg-114bhp-5dr/36563225
2021,Kia Sportage,1.6 Diesel Hybrid,67000,28900,https://www.donedeal.ie/cars-for-sale/kia-sportage-k3-mhev-spec-special-ed-5dr/36555327
2020,Kia Sportage,1.6 Diesel,143231,27495,https://www.donedeal.ie/cars-for-sale/kia-sportage-1-6-gt-line-crdi-mhev/39320460
2021,Kia Sorento,2.2 Diesel,230000,34995,https://www.donedeal.ie/cars-for-sale/kia-sorento-k4-2wd-5dr-auto-au/39320458
2022,Kia Stonic,1.0 Petrol,79000,19900,https://www.donedeal.ie/cars-for-sale/kia-stonic-1-0-k2-pe-petrol-my2022/39320457
2022,Kia Picanto,1.0 Petrol,23930,18500,https://www.donedeal.ie/cars-for-sale/kia-picanto-pe-1-0-auto-my2-my2021-5dr/37528257
2018,Kia Niro,1.6 Petrol Plug-in Hybrid,103000,18995,https://www.donedeal.ie/cars-for-sale/kia-niro-phev-5dr-auto-free-home-charger-available/39017320
2016,Kia Sportage,1.7 Diesel,206008,13950,https://www.donedeal.ie/cars-for-sale/kia-sportage-2-isg-2wd-114bhp-5dr/39576820
2014,Kia Sportage,1.7 Diesel,276300,9495,https://www.donedeal.ie/cars-for-sale/kia-sportage-ex-my2013-5dr/39677748
2015,Kia Carens,1.7 Diesel,403828,7900,https://www.donedeal.ie/cars-for-sale/kia-carens-ex-pe-5dr/37849466
2014,Kia Carens,1.7 Diesel,245900,7250,https://www.donedeal.ie/cars-for-sale/2014-kia-carens-1-7-ex-5dr/40424409
2015,Kia Carens,1.7 Diesel,403828,7900,https://www.donedeal.ie/cars-for-sale/kia-carens-ex-pe-5dr/37849466
