year,name,engine_size,mileage(km),price(eur),link
2020,Ford EcoSport,1.5 Diesel,67635,20950,https://www.donedeal.ie/cars-for-sale/ford-ecosport-1-5-ecoblue-125ps-st-line/39638192
2018,Ford Fiesta,1.0 Petrol,131043,12950,https://www.donedeal.ie/cars-for-sale/ford-fiesta-1-0t-100-ps-titanium/39530677
2019,Ford Kuga,1.5 Diesel,94644,21950,https://www.donedeal.ie/cars-for-sale/ford-kuga-1-5tdci-120ps-fwd-titanium/39074631
2022,Ford Kuga,1.5 Diesel,99226,28950,https://www.donedeal.ie/cars-for-sale/ford-kuga-1-5-ecoblue-120ps-titanium/38628107
2017,Ford Focus,1.5 Diesel,207831,10750,https://www.donedeal.ie/cars-for-sale/ford-focus-titanium-2017/40695741
2019,Ford Kuga,1.5 Diesel,132000,18950,https://www.donedeal.ie/cars-for-sale/ford-kuga-1-5tdci-120ps-fwd-titanium/40685541
2015,Ford Fiesta,1.2 Petrol,154107,9600,https://www.donedeal.ie/cars-for-sale/ford-fiesta-2015/37248918
2021,Ford Focus,1.0 Petrol Hybrid,47000,21950,https://www.donedeal.ie/cars-for-sale/ford-focus-titanium-2021/38871846
2016,Ford Kuga,2.0 Diesel,180400,13000,https://www.donedeal.ie/cars-for-sale/ford-kuga-2016/37193303
2015,Ford Kuga,2.0 Diesel,192887,9950,https://www.donedeal.ie/cars-for-sale/ford-kuga-loaded-suv-zetec-model-2-0tdci-120bhp/39518986
2020,Ford Focus,1.5 Diesel,147195,16950,https://www.donedeal.ie/cars-for-sale/ford-focus-zetec-tdci/40263585
2016,Ford Fiesta,1.0 Petrol,99000,11950,https://www.donedeal.ie/cars-for-sale/ford-fiesta-1-0-petrol-zetec/40551231
2022,Ford Kuga,2.0 Diesel Hybrid,72900,31950,https://www.donedeal.ie/cars-for-sale/ford-kuga-2-0-diesel-st-line-150bhp/40555373
2022,Ford Kuga,2.5 Petrol Plug-in Hybrid,47424,31950,https://www.donedeal.ie/cars-for-sale/ford-kuga-automatic-2-5-petrol-hybrid-titanium/40400898
2025,Ford Focus,1.0 Petrol Hybrid,4300,34450,https://www.donedeal.ie/cars-for-sale/ford-focus-1-0-petrol-hybrid-titanium-125bhp-dem/40385140
