year,name,engine_size,mileage(km),price(eur),link
2016,Renault Scenic,1.6 Diesel,196339,7995,https://www.donedeal.ie/cars-for-sale/lovely-renault-grand-scenic-2016-3-month-warranty/40584858
2015,Ford Fiesta,1.2 Petrol,153424,7500,https://www.donedeal.ie/cars-for-sale/ford-fiesta-1-2-petrol-excellent-cond-warranty/40801148
2017,Mazda Mazda2,1.5 Petrol,172987,7995,https://www.donedeal.ie/cars-for-sale/mazda-mazda2-2017-nct-01-27-190-tax/40559058
2016,Dacia Duster,1.5 Diesel,113568,7450,https://www.donedeal.ie/cars-for-sale/dacia-duster-2016/40545395
2017,Nissan Note,1.2 Petrol Hybrid,149668,8995,https://www.donedeal.ie/cars-for-sale/nissan-note-2017-amazing-colour-low-mileage/40425619
2015,Opel Corsa,1.2 Petrol,218870,6995,https://www.donedeal.ie/cars-for-sale/2015-opel-corsa-1-2-petrol-manual-new-nct/40757829
2013,Hyundai i20,1.2 Petrol,126986,5750,https://www.donedeal.ie/cars-for-sale/hyundai-i20-in-excellent-cond-warranty/40800906
2012,Nissan Juke,1.6 Petrol,104397,6950,https://www.donedeal.ie/cars-for-sale/2012-nissan-juke-automatic-low-kms-104k/40800770
2016,SsangYong Tivoli,1.6 Diesel,97000,7950,https://www.donedeal.ie/cars-for-sale/ssangyong-tivoli-2016-low-mileage/40554298
2014,Volkswagen Up!,1.0 Petrol,84000,8995,https://www.donedeal.ie/cars-for-sale/volkswagen-up-2014-automatic/40031323?campaign=3
2013,Kia Sportage,1.7 Diesel,270000,6495,https://www.donedeal.ie/cars-for-sale/2013-132-kia-sportage-1-7cdri-new-nct-11-26/40800627?campaign=3
2013,Kia Sportage,1.7 Diesel,270000,6495,https://www.donedeal.ie/cars-for-sale/2013-132-kia-sportage-1-7cdri-new-nct-11-26/40800627
2016,Opel Insignia,1.6 Diesel,149974,6750,https://www.donedeal.ie/cars-for-sale/opel-insignia-sports-tourer-sw-5dr-201616/40037187
2019,Renault Zoe,41 kWh Electric,70000,7950,https://www.donedeal.ie/cars-for-sale/renault-zoe-dynamique-2-seater-commercial/39777870
2016,Renault Scenic,1.5 Diesel,185074,7495,https://www.donedeal.ie/cars-for-sale/2016-renault-grand-scenic-7-seatslimited-edition/39271280
2013,Ford Fiesta,1.2 Petrol,77780,7950,https://www.donedeal.ie/cars-for-sale/2013-131-ford-fiesta-zetec-1-25-petrol-5dr-77780km/40800175
2020,Renault Kangoo,Electric,22563,6250,https://www.donedeal.ie/cars-for-sale/renault-kangoo-2020/40800030
2014,Ford Mondeo,1.6 Diesel,227000,6950,https://www.donedeal.ie/cars-for-sale/2014-ford-mondeo-1-6-dci/39621312
2013,Ford Galaxy,2.0 Diesel,249000,8450,https://www.donedeal.ie/cars-for-sale/2013-ford-galaxy-2-0-automatic/39867522
2013,Fiat 500,1.0 Petrol,75638,7995,https://www.donedeal.ie/cars-for-sale/fiat-500-1-0-twin-air-pop-auto/40488599
2014,Hyundai ix35,1.7 Diesel,128737,8995,https://www.donedeal.ie/cars-for-sale/hyundai-ix35/40745228
2016,Opel Corsa,1.4 Petrol,98169,7950,https://www.donedeal.ie/cars-for-sale/161-opel-corsa-1-4l-excite-90bhp-warranty/40732620
2015,Renault Megane,1.5 Diesel,168000,7800,https://www.donedeal.ie/cars-for-sale/152-renault-megane-1-5d-gt-line-estate-warranty/40530238
2014,Peugeot 5008,1.6 Diesel,109000,7800,https://www.donedeal.ie/cars-for-sale/141-peugeot-5008-1-6d-low-miles-high-spec/40533338
2014,Skoda Yeti,2.0 Diesel,294509,7950,https://www.donedeal.ie/cars-for-sale/142-skoda-yeti-2-0tdi-4wd-170ps-laurin-clement/40524809
2016,Dacia Sandero,1.5 Diesel,117000,7800,https://www.donedeal.ie/cars-for-sale/162-dacia-sandero-stepway-1-5cdi-low-miles/39497982
2012,Honda Insight,1.3 Petrol Hybrid,173808,6999,https://www.donedeal.ie/cars-for-sale/2012-honda-insight-1-4-i-vtec-hybrid/39255667
2015,Opel Meriva,1.7 Diesel,115000,6495,https://www.donedeal.ie/cars-for-sale/opel-meriva-2015-automatic/40408287
